name,url,author,publisher,date,price,rate,comment
窗边的小豆豆,https://book.douban.com/subject/1007914/,[日] 黑柳彻子 著 , 南海出版公司 , 2003-1 , 20.00元,8.7,真正懂孩子的教育经
一个叫欧维的男人决定去死,https://book.douban.com/subject/26672693/,[瑞典] 弗雷德里克·巴克曼 , 四川文艺出版社 , 2015-12 , 35.00元,9.0,这个发生在瑞典的故事，如生命庆典般绚丽斑斓
鼠疫,https://book.douban.com/subject/24257229/,(法)阿尔贝·加缪 , 上海译文出版社 , 2013-8 , 34.00元,9.0,用别样的监禁生活再现某种监禁生活，与用不存在的事表现真事同等合理
爱你就像爱生命,https://book.douban.com/subject/3071717/,王小波 , 上海锦绣文章出版社 , 2008-5 , 18.00元,8.8,王小波与李银河的两地书
最好的告别,https://book.douban.com/subject/26576861/,[美] 阿图·葛文德（Atul Gawande） , 浙江人民出版社 , 2015-7-31 , 54.90元,9.0,关于衰老与死亡，你必须知道的常识
我们仨,https://book.douban.com/subject/1023045/,杨绛 , 生活·读书·新知三联书店 , 2003-7 , 18.80元,8.7,家庭生活回忆录
呼兰河传,https://book.douban.com/subject/1060852/,萧红 , 百花文艺出版社 , 2005-01 , 19.00,8.9,萧红的童年往事
道德经,https://book.douban.com/subject/1059258/,黄元吉 , 陕西人民出版社 , 1996-10 , 4.50元,9.4,中国历史上首部完整的哲学著作
巨人的陨落,https://book.douban.com/subject/26698660/,[英] 肯·福莱特 , 江苏凤凰文艺出版社 , 2016-5-1 , 129.80元,8.9,五个家族，一场战争
唐诗三百首,https://book.douban.com/subject/1013267/,蘅塘退士 , 中华书局 , 1998-1-1 , 0.65,9.4,熟读唐诗三百首，不会吟诗也会吟
教父,https://book.douban.com/subject/1092335/,[美]马里奥·普佐 , 译林出版社 , 1997-8 , 23.30元,9.0,“教父三部曲”电影原著
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,一个淡泊清透的世界
海子的诗,https://book.douban.com/subject/1011754/,海子 , 人民文学出版社 , 1999-04 , 15.40,8.9,空
斯通纳,https://book.douban.com/subject/26425831/,[美] 约翰·威廉斯 , 上海人民出版社 , 2016-1 , 49.00元,8.8,即使不能拥有完美的生活，所幸追求过完整的自我
你当像鸟飞往你的山,https://book.douban.com/subject/33440205/,[美] 塔拉·韦斯特弗 , 南海出版公司 , 2019-10-20 , 59.00元,8.8,我来自一个极少有人能想象的家庭，教育给了我新世界
这些人，那些事,https://book.douban.com/subject/6388661/,吴念真 , 译林出版社 , 2011-9 , 28.00元,8.8,平淡叙述下的惊心动魄
人生的枷锁,https://book.douban.com/subject/2035171/,[英] 毛姆 , 上海译文出版社 , 2007-3 , 32.00元,9.0,在混沌纷扰的生活漩流中，寻求人生的真谛
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 , 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,武侠的解构，流氓的狂欢
看不见的城市,https://book.douban.com/subject/1863930/,[意大利]伊塔洛·卡尔维诺 , 译林出版社 , 2006-8 , 16.00元,8.8,每一座城市都只在想象中耸立，又在描述中坍圮
美的历程,https://book.douban.com/subject/3410718/,李泽厚 , 生活·读书·新知三联书店 , 2009-1-1 , 43.00元,9.2,中国美学经典之作
叫魂,https://book.douban.com/subject/10471333/,[美] 孔飞力 , 生活·读书·新知三联书店 上海三联书店 , 2012-5 , 38.00元,9.0,1768年中国妖术大恐慌
边城,https://book.douban.com/subject/1057244/,沈从文 , 北岳文艺出版社 , 2002-4 , 12.00元,8.7,一切充满了善，然而到处是不凑巧
冬牧场,https://book.douban.com/subject/10522856/,李娟 , 新星出版社 , 2012-6 , 29.80元,9.0,阿勒泰的精灵
献给阿尔吉侬的花束,https://book.douban.com/subject/26362836/,[美] 丹尼尔·凯斯 , 广西师范大学出版社 , 2015-4 , 36.00元,9.1,当声称能改造智能的科学实验选中心智障碍主角
人生的智慧,https://book.douban.com/subject/3261600/,[德] 阿图尔·叔本华 , 上海人民出版社 , 2008-10 , 28.00元,9.2,对世俗、实用问题深刻而透彻的讨论
梦里花落知多少,https://book.douban.com/subject/2070844/,三毛 , 北京十月文艺出版社 , 2007-6 , 28.00元,8.8,哀而不伤
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 , 作家出版社 , 2011-10 , 35.00元,8.8,翻手为苍凉，覆手为繁华
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.8,探索时间和空间的核心秘密
王尔德童话,https://book.douban.com/subject/1119839/,[英] 王尔德 , 译林出版社 , 2003-6 , 6.00元,9.1,一颗纯美纯善、永难泯灭的童心
金色梦乡,https://book.douban.com/subject/5038409/,[日] 伊坂幸太郎 , 译林出版社 , 2010-9 , 35.00元,9.0,伊坂幸太郎代表作
孽子,https://book.douban.com/subject/5337254/,白先勇 , 广西师范大学出版社 , 2010.10 , 46.00元,9.1,写给那一群， 在最深最深的黑夜里， 独自彷徨街头， 无所依归的孩子们
离开的，留下的,https://book.douban.com/subject/27104959/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-10 , 62.00元,8.8,探索中年的虚无、困惑、野心和近乎残暴的爱
一个陌生女人的来信,https://book.douban.com/subject/2154960/,[奥] 斯台芬·茨威格 , 上海译文出版社 , 2007-7 , 20.00元,8.7,暗恋的极致
四世同堂,https://book.douban.com/subject/3183775/,老舍 , 北京十月文艺出版社 , 2008-07 , 36.00元,9.3,北平沦陷时代广大平民的悲惨遭遇
昨日的世界,https://book.douban.com/subject/1062343/,[奥] 斯蒂芬·茨威格 , 广西师范大学出版社 , 2004-5-1 , 32.00元,9.2,一个高贵而残破的昨日镜像
十万个为什么,https://book.douban.com/subject/2160556/,少年儿童出版社 ,少年儿童出版社 , 1962 , 30.00元,9.1,空
國史大綱（上下）,https://book.douban.com/subject/1046492/,錢穆 , 商務印書館 , 2013-8 , 76.00元,9.3,钱穆中国通史
经济学原理（上下）,https://book.douban.com/subject/1028842/,[美] 曼昆 , 机械工业出版社 , 2003-8 , 88.00元,9.1,经济学家们的世界观
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 , 68.00元,8.7,完美主义者的最高形态
苏菲的世界,https://book.douban.com/subject/2284311/,[挪] 乔斯坦·贾德 , 作家出版社 , 2007-10 , 26.00元,8.8,哲学启蒙书
小径分岔的花园,https://book.douban.com/subject/25796120/,[阿根廷] 豪·路·博尔赫斯 , 上海译文出版社 , 2015-7 , 23.00,8.9,一个谜语，谜底正是时间
爱的艺术,https://book.douban.com/subject/3026879/,[美] 艾·弗洛姆 , 上海译文出版社 , 2008-4 , 15.00元,8.8,谦恭地、勇敢地、真诚地和有纪律地爱他人
受戒,https://book.douban.com/subject/1760432/,汪曾祺 , 漓江出版社 , 1987-10 , 3.95元,9.3,江南乡镇民间生活，健康淳朴的人性
